idx,split,label,dur,sr,ch,subtype
87,train,0,2.602625,16000,1,PCM_16
88,train,5,2.1578125,16000,1,PCM_16
89,train,4,3.2365625,16000,1,PCM_16
90,train,4,3.6703125,16000,1,PCM_16
91,train,1,1.6349375,16000,1,PCM_16
92,train,1,2.2689375,16000,1,PCM_16
93,test,-1,2.402375,16000,1,PCM_16
94,train,0,2.7026875,16000,1,PCM_16
95,train,2,3.6035625,16000,1,PCM_16
96,train,4,2.8361875,16000,1,PCM_16
97,train,1,1.8685,16000,1,PCM_16
98,train,3,1.534875,16000,1,PCM_16
99,train,0,4.8048125,16000,1,PCM_16
100,train,4,2.5025,16000,1,PCM_16
101,train,0,1.5396875,16000,1,PCM_16
102,train,1,2.902875,16000,1,PCM_16
103,test,-1,3.2699375,16000,1,PCM_16
104,train,3,1.8351875,16000,1,PCM_16
105,train,1,1.7696875,16000,1,PCM_16
106,train,1,2.0094375,16000,1,PCM_16
107,train,1,1.94,16000,1,PCM_16
108,train,2,2.6311875,16000,1,PCM_16
109,train,3,1.4420625,16000,1,PCM_16
110,train,5,2.1688125,16000,1,PCM_16
111,train,1,2.5025,16000,1,PCM_16
112,test,-1,2.402375,16000,1,PCM_16
113,train,2,3.57025,16000,1,PCM_16
114,train,4,3.036375,16000,1,PCM_16
115,train,5,2.43575,16000,1,PCM_16
116,train,0,4.2041875,16000,1,PCM_16
117,train,5,2.102125,16000,1,PCM_16
118,train,1,2.602625,16000,1,PCM_16
119,train,3,3.6369375,16000,1,PCM_16
120,train,3,2.43575,16000,1,PCM_16
121,train,1,2.0221875,16000,1,PCM_16
122,train,5,2.1449375,16000,1,PCM_16
123,train,3,1.606875,16000,1,PCM_16
124,train,0,1.93525,16000,1,PCM_16
125,test,-1,2.6359375,16000,1,PCM_16
126,train,4,2.969625,16000,1,PCM_16
127,train,4,3.036375,16000,1,PCM_16
128,train,0,3.036375,16000,1,PCM_16
129,train,1,1.8018125,16000,1,PCM_16
130,train,3,2.93625,16000,1,PCM_16
131,train,3,2.469125,16000,1,PCM_16
132,train,1,2.1688125,16000,1,PCM_16
133,train,3,1.5630625,16000,1,PCM_16
134,test,-1,2.2689375,16000,1,PCM_16
135,train,2,2.4598125,16000,1,PCM_16
136,train,1,1.7684375,16000,1,PCM_16
137,train,0,2.2689375,16000,1,PCM_16
138,train,0,2.56925,16000,1,PCM_16
139,train,2,2.2021875,16000,1,PCM_16
140,test,-1,3.536875,16000,1,PCM_16
141,train,4,2.705125,16000,1,PCM_16
142,train,1,3.470125,16000,1,PCM_16
143,train,4,2.5210625,16000,1,PCM_16
144,train,3,1.8978125,16000,1,PCM_16
145,train,0,2.0710625,16000,1,PCM_16
146,train,2,2.7026875,16000,1,PCM_16
147,train,3,2.3356875,16000,1,PCM_16
148,train,2,2.7694375,16000,1,PCM_16
149,train,5,1.88575,16000,1,PCM_16
150,train,2,2.2355625,16000,1,PCM_16
151,train,1,2.204625,16000,1,PCM_16
152,train,5,2.5025,16000,1,PCM_16
153,train,2,3.903875,16000,1,PCM_16
154,train,4,3.5035,16000,1,PCM_16
155,train,2,2.2755625,16000,1,PCM_16
156,test,-1,2.602625,16000,1,PCM_16
157,train,1,2.3023125,16000,1,PCM_16
158,train,2,3.4034375,16000,1,PCM_16
159,train,4,2.4091875,16000,1,PCM_16
160,train,2,2.4405625,16000,1,PCM_16
161,train,4,2.93625,16000,1,PCM_16
162,train,3,2.3023125,16000,1,PCM_16
163,train,2,2.7360625,16000,1,PCM_16
164,train,1,2.7360625,16000,1,PCM_16
165,train,2,2.7026875,16000,1,PCM_16
166,train,4,3.1698125,16000,1,PCM_16
167,train,2,3.57025,16000,1,PCM_16
168,train,1,1.6349375,16000,1,PCM_16
169,train,4,2.347375,16000,1,PCM_16
170,train,2,2.1918125,16000,1,PCM_16
171,train,1,3.57025,16000,1,PCM_16
172,train,4,2.7360625,16000,1,PCM_16
173,train,1,3.2031875,16000,1,PCM_16
174,train,1,2.7694375,16000,1,PCM_16
175,test,-1,3.2365625,16000,1,PCM_16
176,train,1,2.7360625,16000,1,PCM_16
177,train,2,3.603625,16000,1,PCM_16
178,train,2,3.2365625,16000,1,PCM_16
179,train,5,4.7714375,16000,1,PCM_16
180,train,3,2.7026875,16000,1,PCM_16
181,test,-1,2.535875,16000,1,PCM_16
182,train,4,1.901875,16000,1,PCM_16
183,test,-1,2.3023125,16000,1,PCM_16
184,test,-1,2.535875,16000,1,PCM_16
185,train,1,2.5025,16000,1,PCM_16
186,train,3,1.6720625,16000,1,PCM_16
187,train,0,2.56925,16000,1,PCM_16
188,train,5,2.5025,16000,1,PCM_16
189,train,1,3.903875,16000,1,PCM_16
190,test,-1,2.43575,16000,1,PCM_16
191,train,0,1.4904375,16000,1,PCM_16
192,train,2,2.2755625,16000,1,PCM_16
193,train,5,2.366375,16000,1,PCM_16
194,train,1,2.2755625,16000,1,PCM_16
195,train,3,3.6035625,16000,1,PCM_16
196,train,4,2.1354375,16000,1,PCM_16
197,train,0,2.602625,16000,1,PCM_16
198,test,-1,2.002,16000,1,PCM_16
199,test,-1,3.2031875,16000,1,PCM_16
200,train,3,2.2689375,16000,1,PCM_16
201,train,3,2.6359375,16000,1,PCM_16
202,test,-1,3.2699375,16000,1,PCM_16
203,train,0,4.5045,16000,1,PCM_16
204,test,-1,2.56925,16000,1,PCM_16
205,train,5,2.0540625,16000,1,PCM_16
206,train,1,1.966875,16000,1,PCM_16
207,train,0,3.003,16000,1,PCM_16
208,train,3,3.57025,16000,1,PCM_16
209,train,3,2.3023125,16000,1,PCM_16
210,train,3,2.56925,16000,1,PCM_16
211,train,3,2.3023125,16000,1,PCM_16
212,train,1,3.2699375,16000,1,PCM_16
213,train,3,2.8028125,16000,1,PCM_16
214,test,-1,2.56925,16000,1,PCM_16
215,train,2,3.470125,16000,1,PCM_16
216,train,5,3.403375,16000,1,PCM_16
217,train,2,2.69025,16000,1,PCM_16
218,train,2,4.2709375,16000,1,PCM_16
219,train,4,3.8038125,16000,1,PCM_16
220,train,1,2.6359375,16000,1,PCM_16
221,train,4,2.3116875,16000,1,PCM_16
222,train,5,2.06875,16000,1,PCM_16
223,train,0,1.6733125,16000,1,PCM_16
224,train,0,3.3700625,16000,1,PCM_16
225,train,5,1.9689375,16000,1,PCM_16
226,train,2,2.2476875,16000,1,PCM_16
227,train,3,1.496375,16000,1,PCM_16
228,train,1,2.7026875,16000,1,PCM_16
229,train,0,2.43575,16000,1,PCM_16
230,train,4,2.32175,16000,1,PCM_16
231,train,2,1.6349375,16000,1,PCM_16
232,train,0,3.2699375,16000,1,PCM_16
233,train,2,2.6359375,16000,1,PCM_16
234,train,2,2.6359375,16000,1,PCM_16
235,train,5,1.910375,16000,1,PCM_16
236,train,2,1.7350625,16000,1,PCM_16
237,train,3,1.6716875,16000,1,PCM_16
238,train,2,2.6693125,16000,1,PCM_16
239,test,-1,2.535875,16000,1,PCM_16
240,train,3,2.1688125,16000,1,PCM_16
241,train,4,4.2709375,16000,1,PCM_16
242,train,5,2.1354375,16000,1,PCM_16
243,test,-1,3.2365625,16000,1,PCM_16
244,train,1,1.7016875,16000,1,PCM_16
245,train,0,1.4251875,16000,1,PCM_16
246,train,2,2.8361875,16000,1,PCM_16
247,train,4,2.93625,16000,1,PCM_16
248,train,5,1.7016875,16000,1,PCM_16
249,train,0,2.5025,16000,1,PCM_16
250,train,1,1.8940625,16000,1,PCM_16
251,train,1,2.2755625,16000,1,PCM_16
252,train,3,2.535875,16000,1,PCM_16
253,train,1,2.2021875,16000,1,PCM_16
254,train,4,2.2021875,16000,1,PCM_16
255,train,3,1.6349375,16000,1,PCM_16
256,train,0,1.506875,16000,1,PCM_16
257,train,3,1.968625,16000,1,PCM_16
258,train,1,1.982625,16000,1,PCM_16
259,train,2,3.43675,16000,1,PCM_16
260,test,-1,3.7370625,16000,1,PCM_16
261,test,-1,2.002,16000,1,PCM_16
262,train,1,2.102125,16000,1,PCM_16
263,test,-1,2.2689375,16000,1,PCM_16
264,train,5,3.103125,16000,1,PCM_16
265,train,0,2.2689375,16000,1,PCM_16
266,train,1,2.002,16000,1,PCM_16
267,train,5,3.7704375,16000,1,PCM_16
268,train,5,2.0384375,16000,1,PCM_16
269,train,2,3.103125,16000,1,PCM_16
270,train,2,3.5035,16000,1,PCM_16
271,train,3,3.403375,16000,1,PCM_16
272,train,0,2.1688125,16000,1,PCM_16
273,test,-1,2.06875,16000,1,PCM_16
274,train,4,2.704,16000,1,PCM_16
275,train,4,3.3033125,16000,1,PCM_16
276,train,2,2.45525,16000,1,PCM_16
277,train,0,4.1708125,16000,1,PCM_16
278,train,5,2.102125,16000,1,PCM_16
279,train,5,1.8945625,16000,1,PCM_16
280,train,2,2.206625,16000,1,PCM_16
281,train,0,2.56925,16000,1,PCM_16
282,train,2,3.637,16000,1,PCM_16
283,train,3,2.1354375,16000,1,PCM_16
284,test,-1,3.5035,16000,1,PCM_16
285,train,3,1.93525,16000,1,PCM_16
286,train,1,3.036375,16000,1,PCM_16
287,train,4,2.7360625,16000,1,PCM_16
288,train,4,2.902875,16000,1,PCM_16
289,train,4,3.7370625,16000,1,PCM_16
290,train,5,1.7498125,16000,1,PCM_16
291,train,4,2.8265625,16000,1,PCM_16
292,train,5,2.035375,16000,1,PCM_16
293,train,0,2.535875,16000,1,PCM_16
294,train,4,2.06875,16000,1,PCM_16
295,train,2,3.7036875,16000,1,PCM_16
296,train,0,2.7360625,16000,1,PCM_16
297,train,2,2.0878125,16000,1,PCM_16
298,train,3,3.57025,16000,1,PCM_16
299,train,5,2.2826875,16000,1,PCM_16
300,train,1,3.403375,16000,1,PCM_16
301,train,0,2.035375,16000,1,PCM_16
302,train,5,2.3023125,16000,1,PCM_16
303,train,0,1.6038125,16000,1,PCM_16
304,train,5,2.7694375,16000,1,PCM_16
305,train,5,2.2021875,16000,1,PCM_16
306,test,-1,2.7026875,16000,1,PCM_16
307,train,5,2.3023125,16000,1,PCM_16
308,test,-1,2.2755625,16000,1,PCM_16
309,test,-1,1.7684375,16000,1,PCM_16
310,test,-1,4.1375,16000,1,PCM_16
311,train,4,3.57025,16000,1,PCM_16
312,train,3,3.003,16000,1,PCM_16
313,train,2,2.2235625,16000,1,PCM_16
314,train,3,1.773625,16000,1,PCM_16
315,train,4,4.6713125,16000,1,PCM_16
316,train,1,1.3680625,16000,1,PCM_16
317,train,2,1.8351875,16000,1,PCM_16
318,train,4,2.4100625,16000,1,PCM_16
319,train,4,4.2041875,16000,1,PCM_16
320,train,2,3.103125,16000,1,PCM_16
321,train,1,1.8018125,16000,1,PCM_16
322,train,0,3.5035,16000,1,PCM_16
323,train,3,3.5035,16000,1,PCM_16
324,train,0,2.10275,16000,1,PCM_16
325,train,5,2.3690625,16000,1,PCM_16
326,train,3,4.07075,16000,1,PCM_16
327,test,-1,2.8695,16000,1,PCM_16
328,train,4,3.7036875,16000,1,PCM_16
329,train,3,2.2689375,16000,1,PCM_16
330,train,4,2.3356875,16000,1,PCM_16
331,train,0,1.696125,16000,1,PCM_16
332,train,2,2.8361875,16000,1,PCM_16
333,train,5,1.867625,16000,1,PCM_16
334,train,3,3.37,16000,1,PCM_16
335,train,5,2.8361875,16000,1,PCM_16
336,train,2,2.369,16000,1,PCM_16
337,train,5,2.3023125,16000,1,PCM_16
338,test,-1,2.902875,16000,1,PCM_16
339,train,4,3.903875,16000,1,PCM_16
340,train,3,1.7304375,16000,1,PCM_16
341,train,2,2.7360625,16000,1,PCM_16
342,test,-1,2.56925,16000,1,PCM_16
343,train,3,2.969625,16000,1,PCM_16
344,train,4,2.56925,16000,1,PCM_16
345,train,3,1.557375,16000,1,PCM_16
346,train,0,1.7016875,16000,1,PCM_16
347,test,-1,3.57025,16000,1,PCM_16
348,train,2,2.1688125,16000,1,PCM_16
349,train,3,2.8361875,16000,1,PCM_16
350,train,0,3.3033125,16000,1,PCM_16
351,train,2,2.2755625,16000,1,PCM_16
352,train,0,2.56925,16000,1,PCM_16
353,train,5,2.252,16000,1,PCM_16
354,train,2,3.93725,16000,1,PCM_16
355,train,5,2.063125,16000,1,PCM_16
356,train,1,2.43575,16000,1,PCM_16
357,train,2,2.70475,16000,1,PCM_16
358,train,3,1.8429375,16000,1,PCM_16
359,test,-1,2.369,16000,1,PCM_16
360,test,-1,3.7370625,16000,1,PCM_16
361,train,0,2.369,16000,1,PCM_16
362,train,0,2.56925,16000,1,PCM_16
363,train,3,2.6359375,16000,1,PCM_16
364,train,1,2.0251875,16000,1,PCM_16
365,train,3,2.602625,16000,1,PCM_16
366,train,1,2.8695,16000,1,PCM_16
367,train,1,2.402375,16000,1,PCM_16
368,train,0,2.5025,16000,1,PCM_16
369,test,-1,2.369,16000,1,PCM_16
370,train,5,2.469125,16000,1,PCM_16
371,train,0,2.3023125,16000,1,PCM_16
372,train,0,3.06975,16000,1,PCM_16
373,train,5,2.43575,16000,1,PCM_16
374,train,0,2.402375,16000,1,PCM_16
375,train,2,3.1364375,16000,1,PCM_16
376,train,4,3.003,16000,1,PCM_16
377,train,0,3.8705625,16000,1,PCM_16
378,train,0,2.7026875,16000,1,PCM_16
379,test,-1,2.7360625,16000,1,PCM_16
380,train,5,2.1481875,16000,1,PCM_16
381,train,0,3.470125,16000,1,PCM_16
382,train,5,2.102125,16000,1,PCM_16
383,train,0,2.43575,16000,1,PCM_16
384,test,-1,3.1698125,16000,1,PCM_16
385,test,-1,1.901875,16000,1,PCM_16
386,train,3,2.969625,16000,1,PCM_16
387,test,-1,2.06875,16000,1,PCM_16
388,train,2,2.5369375,16000,1,PCM_16
389,train,5,2.3023125,16000,1,PCM_16
390,train,2,2.1688125,16000,1,PCM_16
391,train,1,3.2031875,16000,1,PCM_16
392,train,3,2.002,16000,1,PCM_16
393,train,5,2.43575,16000,1,PCM_16
394,train,1,2.06875,16000,1,PCM_16
395,train,1,2.0175625,16000,1,PCM_16
396,train,4,3.003,16000,1,PCM_16
397,test,-1,2.469125,16000,1,PCM_16
398,train,1,2.43575,16000,1,PCM_16
399,test,-1,3.3033125,16000,1,PCM_16
400,test,-1,2.6359375,16000,1,PCM_16
401,train,5,2.0623125,16000,1,PCM_16
402,train,3,2.7694375,16000,1,PCM_16
403,train,3,2.602625,16000,1,PCM_16
404,test,-1,2.56925,16000,1,PCM_16
405,train,3,1.7430625,16000,1,PCM_16
406,train,3,2.3690625,16000,1,PCM_16
407,train,2,2.508125,16000,1,PCM_16
408,train,4,2.7694375,16000,1,PCM_16
409,test,-1,3.6369375,16000,1,PCM_16
410,train,5,1.968625,16000,1,PCM_16
411,train,0,3.536875,16000,1,PCM_16
412,train,5,2.081125,16000,1,PCM_16
413,train,5,2.3023125,16000,1,PCM_16
414,train,1,2.1688125,16000,1,PCM_16
415,test,-1,1.8685,16000,1,PCM_16
416,train,3,1.901875,16000,1,PCM_16
417,train,2,2.236375,16000,1,PCM_16
418,train,1,2.002,16000,1,PCM_16
419,train,0,3.1364375,16000,1,PCM_16
420,train,3,1.5433125,16000,1,PCM_16
421,train,3,5.005,16000,1,PCM_16
422,train,3,1.7224375,16000,1,PCM_16
423,train,4,2.2778125,16000,1,PCM_16
424,train,2,2.1931875,16000,1,PCM_16
425,train,5,2.3356875,16000,1,PCM_16
426,train,2,2.365375,16000,1,PCM_16
427,train,1,1.968625,16000,1,PCM_16
428,train,1,1.9738125,16000,1,PCM_16
429,train,3,2.43575,16000,1,PCM_16
430,train,5,1.8351875,16000,1,PCM_16
431,test,-1,2.7026875,16000,1,PCM_16
432,train,0,2.7026875,16000,1,PCM_16
433,train,4,2.369,16000,1,PCM_16
434,train,5,2.1429375,16000,1,PCM_16
435,train,5,2.2689375,16000,1,PCM_16
436,train,0,2.469125,16000,1,PCM_16
437,train,2,1.6683125,16000,1,PCM_16
438,train,2,4.2041875,16000,1,PCM_16
439,train,3,2.2355625,16000,1,PCM_16
440,train,3,2.3690625,16000,1,PCM_16
441,train,1,2.06875,16000,1,PCM_16
442,test,-1,2.2021875,16000,1,PCM_16
443,train,3,1.72875,16000,1,PCM_16
444,train,1,1.8685,16000,1,PCM_16
445,train,5,2.3023125,16000,1,PCM_16
446,train,4,2.402375,16000,1,PCM_16
447,test,-1,2.2021875,16000,1,PCM_16
448,train,4,2.43575,16000,1,PCM_16
449,train,1,1.8744375,16000,1,PCM_16
450,train,3,3.06975,16000,1,PCM_16
451,train,3,2.469125,16000,1,PCM_16
452,train,0,3.903875,16000,1,PCM_16
453,train,4,4.1374375,16000,1,PCM_16
454,train,5,2.43575,16000,1,PCM_16
455,train,5,1.93525,16000,1,PCM_16
456,train,0,4.1375,16000,1,PCM_16
457,train,0,1.585625,16000,1,PCM_16
458,train,2,2.5025,16000,1,PCM_16
459,train,4,1.7016875,16000,1,PCM_16
460,train,5,2.1688125,16000,1,PCM_16
461,train,1,3.43675,16000,1,PCM_16
462,train,4,2.6693125,16000,1,PCM_16
463,test,-1,2.535875,16000,1,PCM_16
464,train,1,2.469125,16000,1,PCM_16
465,train,2,2.2535625,16000,1,PCM_16
466,train,3,2.43575,16000,1,PCM_16
467,train,0,2.06875,16000,1,PCM_16
468,train,5,2.0174375,16000,1,PCM_16
469,train,2,2.8695625,16000,1,PCM_16
470,train,3,2.035375,16000,1,PCM_16
471,train,0,2.1844375,16000,1,PCM_16
472,train,0,3.003,16000,1,PCM_16
473,train,0,2.2021875,16000,1,PCM_16
474,test,-1,2.8028125,16000,1,PCM_16
475,test,-1,3.43675,16000,1,PCM_16
476,train,4,2.2755625,16000,1,PCM_16
477,train,2,2.769375,16000,1,PCM_16
478,train,4,2.535875,16000,1,PCM_16
479,train,0,2.8028125,16000,1,PCM_16
480,train,1,2.035375,16000,1,PCM_16
481,train,5,2.3356875,16000,1,PCM_16
482,train,0,2.8028125,16000,1,PCM_16
483,train,1,2.011625,16000,1,PCM_16
484,train,4,2.035375,16000,1,PCM_16
485,train,1,2.3356875,16000,1,PCM_16
486,train,2,2.3023125,16000,1,PCM_16
487,train,0,1.92425,16000,1,PCM_16
488,train,1,3.536875,16000,1,PCM_16
489,train,5,2.602625,16000,1,PCM_16
490,train,0,2.7360625,16000,1,PCM_16
491,test,-1,1.8351875,16000,1,PCM_16
492,train,4,2.2689375,16000,1,PCM_16
493,train,1,2.6359375,16000,1,PCM_16
494,train,4,2.93625,16000,1,PCM_16
495,train,2,2.602625,16000,1,PCM_16
496,train,4,2.402375,16000,1,PCM_16
497,train,2,2.43575,16000,1,PCM_16
498,train,4,2.7635625,16000,1,PCM_16
499,train,1,2.19375,16000,1,PCM_16
500,train,0,2.7360625,16000,1,PCM_16
501,train,5,2.602625,16000,1,PCM_16
502,train,3,1.6683125,16000,1,PCM_16
503,train,0,3.6703125,16000,1,PCM_16
504,train,3,2.93625,16000,1,PCM_16
505,train,1,1.901875,16000,1,PCM_16
506,train,2,2.6693125,16000,1,PCM_16
507,train,5,2.053375,16000,1,PCM_16
508,train,4,3.603625,16000,1,PCM_16
509,train,4,2.6693125,16000,1,PCM_16
510,train,5,1.969625,16000,1,PCM_16
511,train,2,2.5915,16000,1,PCM_16
512,train,4,3.3033125,16000,1,PCM_16
513,train,2,1.968625,16000,1,PCM_16
514,train,4,2.7026875,16000,1,PCM_16
515,train,3,2.035375,16000,1,PCM_16
516,train,4,2.93625,16000,1,PCM_16
517,test,-1,2.1354375,16000,1,PCM_16
518,train,4,2.2290625,16000,1,PCM_16
519,train,4,2.035375,16000,1,PCM_16
520,test,-1,2.6693125,16000,1,PCM_16
521,train,5,4.3710625,16000,1,PCM_16
522,test,-1,3.536875,16000,1,PCM_16
523,train,3,2.3023125,16000,1,PCM_16
524,train,1,2.1688125,16000,1,PCM_16
525,train,4,1.7350625,16000,1,PCM_16
526,train,4,2.93625,16000,1,PCM_16
527,train,0,2.1525,16000,1,PCM_16
528,train,2,1.8351875,16000,1,PCM_16
529,train,3,1.8685,16000,1,PCM_16
530,train,1,2.2689375,16000,1,PCM_16
531,train,3,1.6813125,16000,1,PCM_16
532,train,3,3.403375,16000,1,PCM_16
533,test,-1,2.2355625,16000,1,PCM_16
534,train,4,2.3023125,16000,1,PCM_16
535,train,0,1.8046875,16000,1,PCM_16
536,train,3,1.6945,16000,1,PCM_16
537,train,0,2.8361875,16000,1,PCM_16
538,train,4,2.3633125,16000,1,PCM_16
539,train,1,1.75225,16000,1,PCM_16
540,train,0,3.43675,16000,1,PCM_16
541,train,5,2.088375,16000,1,PCM_16
542,train,5,2.602625,16000,1,PCM_16
543,train,1,1.935375,16000,1,PCM_16
544,train,4,2.514125,16000,1,PCM_16
545,train,4,2.4210625,16000,1,PCM_16
546,train,1,1.8573125,16000,1,PCM_16
547,train,1,2.102125,16000,1,PCM_16
548,train,0,1.901875,16000,1,PCM_16
549,test,-1,2.602625,16000,1,PCM_16
550,train,4,2.4826875,16000,1,PCM_16
551,train,2,2.5050625,16000,1,PCM_16
552,train,0,2.2179375,16000,1,PCM_16
553,train,0,2.0381875,16000,1,PCM_16
554,train,2,3.7704375,16000,1,PCM_16
555,train,3,2.535875,16000,1,PCM_16
556,train,2,2.439125,16000,1,PCM_16
557,test,-1,3.603625,16000,1,PCM_16
558,train,1,3.036375,16000,1,PCM_16
559,train,3,2.8695,16000,1,PCM_16
560,train,0,1.8671875,16000,1,PCM_16
561,train,0,3.6369375,16000,1,PCM_16
562,train,1,1.7920625,16000,1,PCM_16
563,train,2,3.2365625,16000,1,PCM_16
564,test,-1,2.6693125,16000,1,PCM_16
565,test,-1,2.5025,16000,1,PCM_16
566,train,2,2.7694375,16000,1,PCM_16
567,train,1,2.469125,16000,1,PCM_16
568,train,3,2.8361875,16000,1,PCM_16
569,test,-1,3.6035625,16000,1,PCM_16
570,train,5,1.94425,16000,1,PCM_16
571,train,5,2.7026875,16000,1,PCM_16
572,train,4,3.970625,16000,1,PCM_16
573,train,0,1.6295,16000,1,PCM_16
574,train,5,2.0514375,16000,1,PCM_16
575,train,3,2.8028125,16000,1,PCM_16
576,train,5,2.7694375,16000,1,PCM_16
577,test,-1,3.1698125,16000,1,PCM_16
578,train,2,2.469125,16000,1,PCM_16
579,train,2,3.6703125,16000,1,PCM_16
580,train,1,1.7684375,16000,1,PCM_16
581,train,2,2.2355625,16000,1,PCM_16
582,train,1,1.7350625,16000,1,PCM_16
583,train,1,2.2355,16000,1,PCM_16
584,train,3,3.5035,16000,1,PCM_16
585,test,-1,3.1364375,16000,1,PCM_16
586,train,3,2.035375,16000,1,PCM_16
587,train,1,1.7684375,16000,1,PCM_16
588,train,4,3.103125,16000,1,PCM_16
589,train,5,2.097875,16000,1,PCM_16
590,train,1,3.470125,16000,1,PCM_16
591,test,-1,1.8685,16000,1,PCM_16
592,train,0,3.7036875,16000,1,PCM_16
593,train,3,3.8371875,16000,1,PCM_16
594,train,3,2.7694375,16000,1,PCM_16
595,test,-1,2.8695625,16000,1,PCM_16
596,train,1,2.1688125,16000,1,PCM_16
597,train,2,2.3059375,16000,1,PCM_16
598,train,4,3.003,16000,1,PCM_16
599,train,4,3.43675,16000,1,PCM_16
600,train,4,2.4065625,16000,1,PCM_16
601,test,-1,2.43575,16000,1,PCM_16
602,test,-1,2.369,16000,1,PCM_16
603,train,3,2.3356875,16000,1,PCM_16
604,train,2,2.535875,16000,1,PCM_16
605,train,2,2.4645625,16000,1,PCM_16
606,train,2,3.003,16000,1,PCM_16
607,train,2,2.1776875,16000,1,PCM_16
608,train,5,1.9820625,16000,1,PCM_16
609,train,4,2.035375,16000,1,PCM_16
610,train,3,2.7026875,16000,1,PCM_16
611,train,2,2.369,16000,1,PCM_16
612,train,5,3.1365,16000,1,PCM_16
613,train,1,1.7684375,16000,1,PCM_16
614,train,5,1.8018125,16000,1,PCM_16
615,train,4,2.2755625,16000,1,PCM_16
616,train,2,2.4686875,16000,1,PCM_16
