file_id,corpus,pseudo_speaker
clip_00278,CREMA-D,CREMA-D_059
clip_00279,TESS,TESS_000
clip_00280,TESS,TESS_001
clip_00281,CREMA-D,CREMA-D_056
clip_00282,RAVDESS,RAVDESS_002
clip_00283,CREMA-D,CREMA-D_030
clip_00285,CREMA-D,CREMA-D_007
clip_00286,CREMA-D,CREMA-D_062
clip_00287,CREMA-D,CREMA-D_004
clip_00288,CREMA-D,CREMA-D_016
clip_00289,RAVDESS,RAVDESS_001
clip_00290,TESS,TESS_000
clip_00291,TESS,TESS_001
clip_00292,CREMA-D,CREMA-D_055
clip_00293,CREMA-D,CREMA-D_046
clip_00294,CREMA-D,CREMA-D_029
clip_00295,RAVDESS,RAVDESS_014
clip_00296,CREMA-D,CREMA-D_008
clip_00297,TESS,TESS_001
clip_00298,RAVDESS,RAVDESS_000
clip_00299,CREMA-D,CREMA-D_043
clip_00300,RAVDESS,RAVDESS_005
clip_00301,CREMA-D,CREMA-D_069
clip_00302,CREMA-D,CREMA-D_052
clip_00303,TESS,TESS_000
clip_00304,CREMA-D,CREMA-D_017
clip_00305,CREMA-D,CREMA-D_036
clip_00307,CREMA-D,CREMA-D_036
clip_00311,CREMA-D,CREMA-D_068
clip_00312,CREMA-D,CREMA-D_024
clip_00313,TESS,TESS_001
clip_00314,TESS,TESS_001
clip_00315,RAVDESS,RAVDESS_018
clip_00316,CREMA-D,CREMA-D_030
clip_00317,CREMA-D,CREMA-D_049
clip_00318,TESS,TESS_000
clip_00319,RAVDESS,RAVDESS_018
clip_00320,CREMA-D,CREMA-D_035
clip_00321,CREMA-D,CREMA-D_015
clip_00322,RAVDESS,RAVDESS_012
clip_00323,RAVDESS,RAVDESS_008
clip_00324,TESS,TESS_001
clip_00325,CREMA-D,CREMA-D_051
clip_00326,RAVDESS,RAVDESS_014
clip_00328,CREMA-D,CREMA-D_024
clip_00329,CREMA-D,CREMA-D_049
clip_00330,CREMA-D,CREMA-D_013
clip_00331,TESS,TESS_000
clip_00332,CREMA-D,CREMA-D_011
clip_00333,TESS,TESS_000
clip_00334,CREMA-D,CREMA-D_026
clip_00335,CREMA-D,CREMA-D_018
clip_00336,CREMA-D,CREMA-D_034
clip_00337,CREMA-D,CREMA-D_016
clip_00339,CREMA-D,CREMA-D_058
clip_00340,TESS,TESS_000
clip_00341,CREMA-D,CREMA-D_058
clip_00343,CREMA-D,CREMA-D_066
clip_00344,CREMA-D,CREMA-D_061
clip_00345,TESS,TESS_001
clip_00346,CREMA-D,CREMA-D_065
clip_00348,CREMA-D,CREMA-D_062
clip_00349,CREMA-D,CREMA-D_040
clip_00350,RAVDESS,RAVDESS_012
clip_00351,CREMA-D,CREMA-D_063
clip_00352,CREMA-D,CREMA-D_041
clip_00353,TESS,TESS_001
clip_00354,RAVDESS,RAVDESS_019
clip_00355,TESS,TESS_000
clip_00356,CREMA-D,CREMA-D_000
clip_00357,TESS,TESS_000
clip_00358,TESS,TESS_001
clip_00361,CREMA-D,CREMA-D_010
clip_00362,CREMA-D,CREMA-D_010
clip_00363,CREMA-D,CREMA-D_000
clip_00364,TESS,TESS_001
clip_00365,CREMA-D,CREMA-D_048
clip_00366,CREMA-D,CREMA-D_065
clip_00367,CREMA-D,CREMA-D_056
clip_00368,CREMA-D,CREMA-D_056
clip_00370,CREMA-D,CREMA-D_019
clip_00371,CREMA-D,CREMA-D_014
clip_00372,CREMA-D,CREMA-D_002
clip_00373,CREMA-D,CREMA-D_018
clip_00374,CREMA-D,CREMA-D_037
clip_00375,CREMA-D,CREMA-D_046
clip_00376,CREMA-D,CREMA-D_063
clip_00377,RAVDESS,RAVDESS_012
clip_00378,CREMA-D,CREMA-D_028
clip_00380,TESS,TESS_001
clip_00381,CREMA-D,CREMA-D_007
clip_00382,CREMA-D,CREMA-D_034
clip_00383,CREMA-D,CREMA-D_053
clip_00386,CREMA-D,CREMA-D_018
clip_00388,TESS,TESS_001
clip_00389,CREMA-D,CREMA-D_062
clip_00390,CREMA-D,CREMA-D_025
clip_00391,RAVDESS,RAVDESS_008
clip_00392,CREMA-D,CREMA-D_015
clip_00393,CREMA-D,CREMA-D_003
clip_00394,CREMA-D,CREMA-D_036
clip_00395,TESS,TESS_001
clip_00396,CREMA-D,CREMA-D_014
clip_00398,CREMA-D,CREMA-D_058
clip_00401,TESS,TESS_001
clip_00402,CREMA-D,CREMA-D_031
clip_00403,CREMA-D,CREMA-D_043
clip_00405,TESS,TESS_001
clip_00406,CREMA-D,CREMA-D_015
clip_00407,TESS,TESS_000
clip_00408,CREMA-D,CREMA-D_027
clip_00410,CREMA-D,CREMA-D_062
clip_00411,RAVDESS,RAVDESS_001
clip_00412,TESS,TESS_000
clip_00413,CREMA-D,CREMA-D_012
clip_00414,CREMA-D,CREMA-D_001
clip_00416,CREMA-D,CREMA-D_039
clip_00417,TESS,TESS_001
clip_00418,CREMA-D,CREMA-D_019
clip_00419,CREMA-D,CREMA-D_069
clip_00420,TESS,TESS_001
clip_00421,RAVDESS,RAVDESS_003
clip_00422,TESS,TESS_001
clip_00423,TESS,TESS_000
clip_00424,TESS,TESS_001
clip_00425,CREMA-D,CREMA-D_068
clip_00426,TESS,TESS_001
clip_00427,CREMA-D,CREMA-D_031
clip_00428,TESS,TESS_000
clip_00429,CREMA-D,CREMA-D_035
clip_00430,CREMA-D,CREMA-D_063
clip_00432,CREMA-D,CREMA-D_022
clip_00433,CREMA-D,CREMA-D_002
clip_00434,TESS,TESS_001
clip_00435,CREMA-D,CREMA-D_024
clip_00436,CREMA-D,CREMA-D_070
clip_00437,CREMA-D,CREMA-D_029
clip_00438,RAVDESS,RAVDESS_007
clip_00439,CREMA-D,CREMA-D_067
clip_00440,CREMA-D,CREMA-D_022
clip_00441,CREMA-D,CREMA-D_047
clip_00443,TESS,TESS_001
clip_00444,CREMA-D,CREMA-D_038
clip_00445,CREMA-D,CREMA-D_071
clip_00446,CREMA-D,CREMA-D_001
clip_00448,CREMA-D,CREMA-D_034
clip_00449,TESS,TESS_001
clip_00450,CREMA-D,CREMA-D_041
clip_00451,CREMA-D,CREMA-D_019
clip_00452,RAVDESS,RAVDESS_015
clip_00453,RAVDESS,RAVDESS_008
clip_00454,CREMA-D,CREMA-D_040
clip_00455,CREMA-D,CREMA-D_057
clip_00456,RAVDESS,RAVDESS_009
clip_00457,TESS,TESS_000
clip_00458,CREMA-D,CREMA-D_068
clip_00459,CREMA-D,CREMA-D_025
clip_00460,CREMA-D,CREMA-D_019
clip_00461,RAVDESS,RAVDESS_011
clip_00462,CREMA-D,CREMA-D_044
clip_00464,CREMA-D,CREMA-D_015
clip_00465,TESS,TESS_001
clip_00466,CREMA-D,CREMA-D_019
clip_00467,UNKNOWN,UNKNOWN_pool
clip_00468,TESS,TESS_001
clip_00469,CREMA-D,CREMA-D_048
clip_00470,CREMA-D,CREMA-D_058
clip_00471,TESS,TESS_001
clip_00472,CREMA-D,CREMA-D_062
clip_00473,CREMA-D,CREMA-D_038
clip_00476,CREMA-D,CREMA-D_049
clip_00477,TESS,TESS_000
clip_00478,CREMA-D,CREMA-D_008
clip_00479,CREMA-D,CREMA-D_070
clip_00480,CREMA-D,CREMA-D_016
clip_00481,CREMA-D,CREMA-D_045
clip_00482,CREMA-D,CREMA-D_002
clip_00483,TESS,TESS_000
clip_00484,CREMA-D,CREMA-D_063
clip_00485,CREMA-D,CREMA-D_051
clip_00486,CREMA-D,CREMA-D_003
clip_00487,TESS,TESS_001
clip_00488,RAVDESS,RAVDESS_014
clip_00489,CREMA-D,CREMA-D_017
clip_00490,CREMA-D,CREMA-D_069
clip_00492,CREMA-D,CREMA-D_062
clip_00493,CREMA-D,CREMA-D_010
clip_00494,CREMA-D,CREMA-D_052
clip_00495,CREMA-D,CREMA-D_018
clip_00496,CREMA-D,CREMA-D_045
clip_00497,CREMA-D,CREMA-D_033
clip_00498,TESS,TESS_001
clip_00499,TESS,TESS_000
clip_00500,CREMA-D,CREMA-D_064
clip_00501,CREMA-D,CREMA-D_003
clip_00502,UNKNOWN,UNKNOWN_pool
clip_00503,RAVDESS,RAVDESS_000
clip_00504,CREMA-D,CREMA-D_019
clip_00505,CREMA-D,CREMA-D_015
clip_00506,CREMA-D,CREMA-D_016
clip_00507,TESS,TESS_001
clip_00508,RAVDESS,RAVDESS_013
clip_00509,CREMA-D,CREMA-D_003
clip_00510,TESS,TESS_001
clip_00511,TESS,TESS_000
clip_00512,CREMA-D,CREMA-D_024
clip_00513,CREMA-D,CREMA-D_066
clip_00514,CREMA-D,CREMA-D_011
clip_00515,CREMA-D,CREMA-D_050
clip_00516,CREMA-D,CREMA-D_009
clip_00518,TESS,TESS_000
clip_00519,CREMA-D,CREMA-D_053
clip_00521,CREMA-D,CREMA-D_029
clip_00523,CREMA-D,CREMA-D_057
clip_00524,CREMA-D,CREMA-D_037
clip_00525,CREMA-D,CREMA-D_001
clip_00526,CREMA-D,CREMA-D_025
clip_00527,TESS,TESS_001
clip_00528,CREMA-D,CREMA-D_066
clip_00529,CREMA-D,CREMA-D_006
clip_00530,CREMA-D,CREMA-D_045
clip_00531,TESS,TESS_000
clip_00532,RAVDESS,RAVDESS_019
clip_00534,CREMA-D,CREMA-D_033
clip_00535,TESS,TESS_000
clip_00536,TESS,TESS_000
clip_00537,CREMA-D,CREMA-D_041
clip_00538,TESS,TESS_001
clip_00539,TESS,TESS_001
clip_00540,CREMA-D,CREMA-D_068
clip_00541,TESS,TESS_001
clip_00542,CREMA-D,CREMA-D_012
clip_00543,TESS,TESS_000
clip_00544,TESS,TESS_001
clip_00545,TESS,TESS_000
clip_00546,TESS,TESS_000
clip_00547,CREMA-D,CREMA-D_007
clip_00548,CREMA-D,CREMA-D_015
clip_00550,TESS,TESS_001
clip_00551,TESS,TESS_001
clip_00552,TESS,TESS_001
clip_00553,TESS,TESS_001
clip_00554,CREMA-D,CREMA-D_070
clip_00555,CREMA-D,CREMA-D_068
clip_00556,TESS,TESS_000
clip_00558,CREMA-D,CREMA-D_034
clip_00559,CREMA-D,CREMA-D_041
clip_00560,TESS,TESS_001
clip_00561,RAVDESS,RAVDESS_011
clip_00562,TESS,TESS_001
clip_00563,CREMA-D,CREMA-D_047
clip_00566,CREMA-D,CREMA-D_021
clip_00567,CREMA-D,CREMA-D_002
clip_00568,CREMA-D,CREMA-D_006
clip_00570,TESS,TESS_000
clip_00571,CREMA-D,CREMA-D_068
clip_00572,CREMA-D,CREMA-D_030
clip_00573,TESS,TESS_000
clip_00574,TESS,TESS_000
clip_00575,CREMA-D,CREMA-D_053
clip_00576,CREMA-D,CREMA-D_018
clip_00578,CREMA-D,CREMA-D_053
clip_00579,RAVDESS,RAVDESS_013
clip_00580,CREMA-D,CREMA-D_038
clip_00581,CREMA-D,CREMA-D_015
clip_00582,CREMA-D,CREMA-D_041
clip_00583,TESS,TESS_001
clip_00584,CREMA-D,CREMA-D_065
clip_00586,CREMA-D,CREMA-D_041
clip_00587,CREMA-D,CREMA-D_001
clip_00588,CREMA-D,CREMA-D_028
clip_00589,TESS,TESS_001
clip_00590,RAVDESS,RAVDESS_017
clip_00592,RAVDESS,RAVDESS_016
clip_00593,CREMA-D,CREMA-D_019
clip_00594,CREMA-D,CREMA-D_024
clip_00596,CREMA-D,CREMA-D_054
clip_00597,TESS,TESS_001
clip_00598,CREMA-D,CREMA-D_023
clip_00599,CREMA-D,CREMA-D_044
clip_00600,TESS,TESS_000
clip_00603,CREMA-D,CREMA-D_025
clip_00604,CREMA-D,CREMA-D_036
clip_00605,TESS,TESS_000
clip_00606,CREMA-D,CREMA-D_047
clip_00607,TESS,TESS_001
clip_00608,TESS,TESS_000
clip_00609,CREMA-D,CREMA-D_034
clip_00610,CREMA-D,CREMA-D_069
clip_00611,CREMA-D,CREMA-D_043
clip_00612,RAVDESS,RAVDESS_006
clip_00613,CREMA-D,CREMA-D_030
clip_00614,CREMA-D,CREMA-D_042
clip_00615,CREMA-D,CREMA-D_012
clip_00616,TESS,TESS_001
clip_00617,CREMA-D,CREMA-D_060
clip_00618,TESS,TESS_001
clip_00619,CREMA-D,CREMA-D_016
clip_00620,CREMA-D,CREMA-D_059
clip_00622,TESS,TESS_000
clip_00623,CREMA-D,CREMA-D_063
clip_00624,CREMA-D,CREMA-D_037
clip_00625,CREMA-D,CREMA-D_022
clip_00626,CREMA-D,CREMA-D_059
clip_00627,CREMA-D,CREMA-D_045
clip_00628,TESS,TESS_001
clip_00629,CREMA-D,CREMA-D_055
clip_00630,CREMA-D,CREMA-D_045
clip_00632,CREMA-D,CREMA-D_063
clip_00633,CREMA-D,CREMA-D_006
clip_00634,TESS,TESS_000
clip_00636,CREMA-D,CREMA-D_030
clip_00637,CREMA-D,CREMA-D_003
clip_00638,CREMA-D,CREMA-D_019
clip_00639,CREMA-D,CREMA-D_028
clip_00640,CREMA-D,CREMA-D_045
clip_00641,RAVDESS,RAVDESS_008
clip_00642,CREMA-D,CREMA-D_001
clip_00643,CREMA-D,CREMA-D_020
clip_00645,TESS,TESS_000
clip_00648,RAVDESS,RAVDESS_016
clip_00649,RAVDESS,RAVDESS_012
clip_00650,CREMA-D,CREMA-D_070
clip_00652,CREMA-D,CREMA-D_015
clip_00653,CREMA-D,CREMA-D_054
clip_00654,TESS,TESS_000
clip_00655,RAVDESS,RAVDESS_017
clip_00656,TESS,TESS_001
clip_00657,CREMA-D,CREMA-D_069
clip_00658,CREMA-D,CREMA-D_020
clip_00659,CREMA-D,CREMA-D_015
clip_00661,TESS,TESS_000
clip_00662,CREMA-D,CREMA-D_019
clip_00663,CREMA-D,CREMA-D_062
clip_00664,RAVDESS,RAVDESS_001
clip_00665,CREMA-D,CREMA-D_014
clip_00666,TESS,TESS_000
clip_00667,TESS,TESS_000
clip_00668,CREMA-D,CREMA-D_056
clip_00670,CREMA-D,CREMA-D_003
clip_00671,CREMA-D,CREMA-D_054
clip_00672,CREMA-D,CREMA-D_043
clip_00673,TESS,TESS_001
clip_00674,UNKNOWN,UNKNOWN_pool
clip_00675,RAVDESS,RAVDESS_006
clip_00677,CREMA-D,CREMA-D_008
clip_00678,CREMA-D,CREMA-D_019
clip_00679,TESS,TESS_001
clip_00680,CREMA-D,CREMA-D_009
clip_00681,RAVDESS,RAVDESS_019
clip_00682,CREMA-D,CREMA-D_050
clip_00683,TESS,TESS_000
clip_00684,CREMA-D,CREMA-D_050
clip_00685,TESS,TESS_000
clip_00687,TESS,TESS_001
clip_00688,CREMA-D,CREMA-D_028
clip_00689,RAVDESS,RAVDESS_000
clip_00690,TESS,TESS_001
clip_00691,CREMA-D,CREMA-D_021
clip_00693,CREMA-D,CREMA-D_059
clip_00694,CREMA-D,CREMA-D_032
clip_00696,CREMA-D,CREMA-D_026
clip_00698,CREMA-D,CREMA-D_052
clip_00699,TESS,TESS_001
clip_00700,CREMA-D,CREMA-D_048
clip_00701,CREMA-D,CREMA-D_017
clip_00702,CREMA-D,CREMA-D_063
clip_00703,TESS,TESS_000
clip_00704,RAVDESS,RAVDESS_008
clip_00705,CREMA-D,CREMA-D_006
clip_00706,CREMA-D,CREMA-D_016
clip_00707,CREMA-D,CREMA-D_039
clip_00709,CREMA-D,CREMA-D_012
clip_00710,CREMA-D,CREMA-D_029
clip_00711,RAVDESS,RAVDESS_017
clip_00712,CREMA-D,CREMA-D_003
clip_00713,TESS,TESS_000
clip_00714,CREMA-D,CREMA-D_004
clip_00715,CREMA-D,CREMA-D_065
clip_00716,TESS,TESS_001
clip_00717,CREMA-D,CREMA-D_067
clip_00719,TESS,TESS_001
clip_00721,UNKNOWN,UNKNOWN_pool
clip_00722,RAVDESS,RAVDESS_004
clip_00725,CREMA-D,CREMA-D_059
clip_00726,RAVDESS,RAVDESS_008
clip_00727,CREMA-D,CREMA-D_060
clip_00728,CREMA-D,CREMA-D_064
clip_00729,TESS,TESS_001
clip_00730,TESS,TESS_001
clip_00731,CREMA-D,CREMA-D_033
clip_00732,CREMA-D,CREMA-D_018
clip_00733,CREMA-D,CREMA-D_040
clip_00735,CREMA-D,CREMA-D_027
clip_00737,CREMA-D,CREMA-D_061
clip_00738,TESS,TESS_001
clip_00739,TESS,TESS_000
clip_00740,TESS,TESS_000
clip_00741,CREMA-D,CREMA-D_034
clip_00742,CREMA-D,CREMA-D_060
clip_00743,CREMA-D,CREMA-D_039
clip_00744,CREMA-D,CREMA-D_031
clip_00746,CREMA-D,CREMA-D_004
clip_00747,TESS,TESS_000
clip_00748,CREMA-D,CREMA-D_016
clip_00749,CREMA-D,CREMA-D_061
clip_00750,TESS,TESS_000
clip_00751,CREMA-D,CREMA-D_020
clip_00752,CREMA-D,CREMA-D_003
clip_00754,TESS,TESS_000
clip_00755,CREMA-D,CREMA-D_065
clip_00756,TESS,TESS_001
clip_00757,TESS,TESS_000
clip_00758,CREMA-D,CREMA-D_012
clip_00759,CREMA-D,CREMA-D_002
clip_00760,CREMA-D,CREMA-D_033
clip_00761,CREMA-D,CREMA-D_052
clip_00762,CREMA-D,CREMA-D_048
clip_00764,CREMA-D,CREMA-D_058
clip_00765,CREMA-D,CREMA-D_034
clip_00766,CREMA-D,CREMA-D_008
clip_00767,TESS,TESS_000
clip_00769,CREMA-D,CREMA-D_001
clip_00770,CREMA-D,CREMA-D_057
clip_00771,CREMA-D,CREMA-D_039
clip_00773,TESS,TESS_000
clip_00774,CREMA-D,CREMA-D_007
clip_00775,TESS,TESS_001
clip_00776,CREMA-D,CREMA-D_034
clip_00777,CREMA-D,CREMA-D_062
clip_00781,CREMA-D,CREMA-D_043
clip_00782,TESS,TESS_000
clip_00783,CREMA-D,CREMA-D_064
clip_00784,CREMA-D,CREMA-D_047
clip_00785,TESS,TESS_000
clip_00786,CREMA-D,CREMA-D_020
clip_00787,CREMA-D,CREMA-D_049
clip_00788,CREMA-D,CREMA-D_071
clip_00789,CREMA-D,CREMA-D_055
